date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-01-12,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-9,-13,-21,0,0,0
2020-01-19,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-8,-12,-20,0,0,0
2020-01-26,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-7,-11,-19,0,0,0
2020-02-02,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-6,-10,-18,0,0,0
2020-02-09,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-5,-9,-17,0,0,0
2020-02-16,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-4,-8,-16,0,0,0
2020-02-23,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-3,-7,-15,0,0,0
2020-03-01,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-2,-6,-14,0,0,0
2020-03-08,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-1,-5,-13,0,0,0
2020-03-15,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
