date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days2
2020-08-30,29,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,26,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,22,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,21,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,23,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,20,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,16,daftar gojek+daftar grab,ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,32,20
2020-01-05,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,9,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,6,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,6,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,0,-12
2020-03-22,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,12,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,7,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,19,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,21,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,20,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,22,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,12,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,9,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,13,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,22,10
2020-08-23,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,23,11
2020-08-30,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,24,12
2020-09-06,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,25,13
2020-09-13,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,26,14
2020-09-20,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,27,15
2020-09-27,11,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,28,16
2020-10-04,10,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,8,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,15,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,14,modal jualan+cara jualan online,ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,32,20
